Case ID;Actual;Prefix Length;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability;SHAP Precision;SHAP Recall;SHAP Correlation;LIME Precision;LIME Recall;LIME Correlation
937.0;0.0;1.0;1.0;0.7256324662359142;1.0;1.0;1.0;0.0;0.0;0.01249580183781378;0.25;0.5;0.6966221607019631
945.0;0.0;1.0;1.0;0.9411252565058325;1.0;1.0;1.0;0.0;0.0;0.017973553437919967;0.25;0.5;0.6999093684274226
950.0;0.0;1.0;0.0;0.5362212730145052;1.0;1.0;1.0;0.0;0.0;0.009705448509721637;0.2;0.5;0.698018686859838
955.0;1.0;1.0;1.0;0.9994839546319112;1.0;1.0;1.0;0.0;0.0;0.012044037490821237;0.2;0.5;0.7010856731527095
1001.0;0.0;1.0;0.0;0.9793506886880792;1.0;1.0;1.0;0.0;0.0;0.005848501469646557;0.25;0.5;0.6981690819845322
1007.0;1.0;1.0;0.0;0.9999966870513436;1.0;1.0;1.0;0.0;0.0;0.01578825050049425;0.25;0.5;0.6967456995543905
1116.0;1.0;1.0;1.0;0.9998429570155112;1.0;1.0;1.0;0.0;0.0;0.007754446093421977;0.25;0.5;0.6980455431321049
1132.0;1.0;1.0;1.0;0.9998241612154528;1.0;1.0;1.0;0.0;0.0;0.007254304596402894;0.25;0.5;0.6993024166741924
1011_2;0.0;2.0;1.0;0.8474641966170855;1.0;1.0;1.0;0.0;0.0;0.020360474785329482;1.0;1.0;0.672528663670914
1057_2;1.0;2.0;1.0;0.99063173547693;1.0;1.0;1.0;0.0;0.0;0.018981927237560925;0.3333333333333333;1.0;0.6859758687639295
1061_2;0.0;2.0;0.0;0.9048688388780112;1.0;1.0;1.0;0.0;0.0;0.020640617490251017;0.5;1.0;0.6752436212077201
1094_2;1.0;2.0;1.0;0.999332242249899;1.0;1.0;1.0;0.0;0.0;0.020919649495376454;1.0;1.0;0.6773359757003715
914_2;1.0;2.0;1.0;0.9997892647555712;1.0;1.0;1.0;0.0;0.0;0.02272761205140502;1.0;1.0;0.6799896935934903
934_2;0.0;2.0;0.0;0.8319731422584498;1.0;1.0;1.0;0.0;0.0;0.014117730426757713;0.3333333333333333;1.0;0.6865882652008031
959_2;1.0;2.0;1.0;0.9691258790407742;1.0;1.0;1.0;0.0;0.0;0.02213969560623593;0.3333333333333333;1.0;0.6851083071450252
983_2;0.0;2.0;1.0;0.9634888312053166;1.0;1.0;1.0;0.0;0.0;0.024514568615011063;1.0;1.0;0.6872567979777233
1042_3;1.0;3.0;0.0;0.6983988775575922;1.0;1.0;1.0;0.0;0.0;0.11912501768883488;0.0;0.0;0.4809181760228503
1051_3;0.0;3.0;0.0;0.9999468666135938;1.0;1.0;1.0;0.0;0.0;0.12024529185180492;0.0;0.0;0.4834708950986448
1064_3;1.0;3.0;1.0;0.9999999999999972;1.0;1.0;1.0;0.0;0.0;0.12106574432556715;0.0;0.0;0.46973051963938817
1073_3;0.0;3.0;0.0;0.9999998330319582;1.0;1.0;1.0;0.0;0.0;0.12065482316565762;0.0;0.0;0.47976013778333804
1108_3;0.0;3.0;1.0;0.9999983190266096;1.0;1.0;1.0;0.0;0.0;0.12102378745658067;0.5;1.0;0.476396791939885
