Case ID;Actual;Prefix Length;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability;SHAP Precision;SHAP Recall;SHAP Correlation;MAPE Correctness;RMSE Correctness;R2 Correctness;Mode
918;1;1;1;0.999974199315398;1.0;1.0;1.0;0.0;0.0;0.004561142535173106;-5.515169900651804e-05;-5.515169900651804e-05;0.001331416028283069;baseline_0
925;1;1;1;0.9999998818082952;1.0;1.0;1.0;0.0;0.0;0.007509072039257374;0.008180112340259374;0.008180112340259374;-0.008180112340259374;baseline_0
931;0;1;1;0.9526011472695084;1.0;1.0;1.0;0.0;0.0;0.005330626239150965;-0.01586028739466156;-0.01586028739466156;0.01586028739466156;baseline_0
935;0;1;0;0.9954927662864672;1.0;1.0;1.0;0.0;0.0;0.006966146919622525;0.002342648780968619;0.002342648780968619;-0.002342648780968619;baseline_0
1062;1;1;1;0.9945594609810924;1.0;1.0;1.0;0.0;0.0;0.0013948999227541507;-0.013944482089303803;-0.013944482089303803;0.013944482089303803;baseline_0
1079;0;1;0;0.992483749304048;1.0;1.0;1.0;0.0;0.0;0.004494230908740249;0.010005357468382757;0.010005357468382757;-0.010005357468382757;baseline_0
1109;0;1;0;0.8536939070956419;1.0;1.0;1.0;0.0;0.0;0.004053729368057271;-0.024930829362125373;-0.024930829362125373;0.026182919785568023;baseline_0
1122;1;1;1;0.5350831770441581;1.0;1.0;1.0;0.0;0.0;0.004159672776575962;-0.012332657938365655;-0.012332657938365655;0.013659121200363389;baseline_0
1002_13;1;13;1;0.9970377869499072;1.0;1.0;1.0;0.0;0.0;0.0021188000822672825;-0.03961670568939863;-0.03961670568939863;0.03961670568939863;baseline_0
1003_11;0;11;0;0.9994488193599046;1.0;1.0;1.0;0.0;0.0;0.006016724018107225;-0.015458659185243003;-0.015458659185243003;0.015458659185243003;baseline_0
1004_11;1;11;0;0.8868680274505137;1.0;1.0;1.0;0.0;0.0;0.0038287468670789642;-0.03905895881429403;-0.03905895881429403;0.03905895881429403;baseline_0
1004_3;1;3;1;0.992040831576412;1.0;1.0;1.0;0.0;0.0;0.00756475666691223;-0.023441717609470933;-0.023441717609470933;0.023441717609470933;baseline_0
1004_8;1;8;1;0.947911430468154;1.0;1.0;1.0;0.0;0.0;0.008600082832153402;-0.030464550436415543;-0.030464550436415543;0.030464550436415543;baseline_0
1005_8;0;8;0;0.5769720375649142;1.0;1.0;1.0;0.0;0.0;0.0037526270491094137;-0.025865584338711008;-0.025865584338711008;;baseline_0
1009_8;0;8;1;0.9970202535429202;1.0;1.0;1.0;0.0;0.0;0.003524012325463818;-0.02443936993019881;-0.02443936993019881;0.02443936993019881;baseline_0
1009_9;0;9;1;0.9983468928487432;1.0;1.0;1.0;0.0;0.0;0.0027154968394001253;-0.027147708296085565;-0.027147708296085565;0.027147708296085565;baseline_0
1017_3;1;3;1;0.9997760294073827;1.0;1.0;1.0;0.0;0.0;0.0031489656938821246;-0.01683330943530541;-0.01683330943530541;0.01683330943530541;baseline_0
1017_4;1;4;1;0.9998342625902727;1.0;1.0;1.0;0.0;0.0;0.004557786773549988;-0.01723985300832336;-0.01723985300832336;0.01723985300832336;baseline_0
1018_12;0;12;0;0.9999738083076052;1.0;1.0;1.0;0.0;0.0;0.004652450640563245;-0.012884320752391825;-0.012884320752391825;0.012884320752391825;baseline_0
1018_4;0;4;0;0.9999109734310462;1.0;1.0;1.0;0.0;0.0;0.009558266336956086;0.013513131863762882;0.013513131863762882;-0.013513131863762882;baseline_0
1020_14;1;14;1;0.9989620870264846;1.0;1.0;1.0;0.0;0.0;0.0019237092599446474;-0.02893185680833896;-0.02893185680833896;0.02893185680833896;baseline_0
1022_14;0;14;1;0.9748724035663312;1.0;1.0;1.0;0.0;0.0;0.00017285503495154803;-0.040786689754292886;-0.040786689754292886;0.040786689754292886;baseline_0
1022_5;0;5;1;0.9988330260008316;1.0;1.0;1.0;0.0;0.0;0.007092632401882874;-0.0031047648798348698;-0.0031047648798348698;0.0031047648798348698;baseline_0
1024_3;0;3;1;0.9959633857403846;1.0;1.0;1.0;0.0;0.0;0.004957036324900845;-0.010251192363532969;-0.010251192363532969;0.010251192363532969;baseline_0
1026_4;1;4;1;0.9999964478130204;1.0;1.0;1.0;0.0;0.0;0.005264981544766663;-0.013073910289316875;-0.013073910289316875;0.013073910289316875;baseline_0
1029_6;0;6;0;0.9999863067543984;1.0;1.0;1.0;0.0;0.0;0.008622764592354499;-0.00781756671055064;-0.00781756671055064;0.00781756671055064;baseline_0
1030_2;1;2;1;0.9947465150415566;1.0;1.0;1.0;0.0;0.0;0.005564816931665965;0.005735583991072368;0.005735583991072368;-0.005735583991072368;baseline_0
1030_6;1;6;1;0.9984453140076706;1.0;1.0;1.0;0.0;0.0;0.007889995950207757;-0.001604376110153904;-0.001604376110153904;0.001604376110153904;baseline_0
1031_9;0;9;0;0.9836750970396048;1.0;1.0;1.0;0.0;0.0;0.0034849805433779845;-0.023220330426354643;-0.023220330426354643;0.023220330426354643;baseline_0
1036_12;1;12;1;0.999178272731472;1.0;1.0;1.0;0.0;0.0;0.0021076631567363115;-0.032537376138955555;-0.032537376138955555;0.032537376138955555;baseline_0
1038_7;0;7;0;0.9271460785057932;1.0;1.0;1.0;0.0;0.0;0.005606332071127768;-0.024020507929415163;-0.024020507929415163;0.024020507929415163;baseline_0
1041_11;0;11;1;0.9993824636045052;1.0;1.0;1.0;0.0;0.0;0.0034830734598112626;-0.038787271860833576;-0.038787271860833576;0.038787271860833576;baseline_0
1041_13;0;13;1;0.9999052186162786;1.0;1.0;1.0;0.0;0.0;0.002553140177975162;-0.041137446006998805;-0.041137446006998805;0.041137446006998805;baseline_0
1045_8;0;8;1;0.9999986778280878;1.0;1.0;1.0;0.0;0.0;0.007375428932885718;-0.019329510236138388;-0.019329510236138388;0.019329510236138388;baseline_0
