Actual;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability;LIME Subset Stability;LIME Weight Stability;LIME Adjusted Weight Stability;ACV Subset Stability;ACV Weight Stability;ACV Adjusted Weight Stability;LINDA Subset Stability;LINDA Weight Stability;LINDA Adjusted Weight Stability;MAPE Correctness;RMSE Correctness;R2 Correctness
0;0;0.6742509990000001;1;1;1;0.67511371;0.999596531;0.999596531;1.0;1.0;1.0;1.0;1.0;1.0;0.08117077033708014;0.08117077033708014;-0.08117077033708014
1;0;0.604792395;1;1;1;0.887069452;0.999878831;0.999878831;;1.0;1.0;1.0;1.0;1.0;0.1233919118490934;0.1233919118490934;-0.1233919118490934
0;0;0.7386876259999999;1;1;1;0.864498645;0.999665267;0.999665267;1.0;1.0;1.0;1.0;1.0;1.0;0.056195148694901643;0.056195148694901643;-0.056195148694901643
1;0;0.708453833;1;1;1;0.915302089;0.99967744;0.99967744;1.0;1.0;1.0;1.0;1.0;1.0;0.29521286423310117;0.29521286423310117;-0.29521286423310117
0;0;0.937369684;1;1;1;0.951432734;0.99975659;0.99975659;1.0;1.0;1.0;;1.0;1.0;0.3648382668399301;0.3648382668399301;-0.3257918827675008
0;0;0.8841749409999999;1;1;1;0.82316534;0.999035308;0.999035308;1.0;1.0;1.0;;1.0;1.0;0.24553427732134045;0.24553427732134045;-0.24553427732134045
0;0;0.757221131;1;1;1;0.864498645;0.998788404;0.998788404;;1.0;1.0;1.0;1.0;1.0;-0.11726944291283467;-0.11726944291283467;0.11726944291283467
0;0;0.785211323;1;1;1;0.8851102940000001;0.997730985;0.997730985;1.0;1.0;1.0;1.0;1.0;1.0;0.3193118735582523;0.3193118735582523;-0.3193118735582523
0;0;0.8694201859999999;1;1;1;1.0;0.9997874;0.9997874;1.0;1.0;1.0;1.0;1.0;1.0;0.27111385490795004;0.27111385490795004;-0.27111385490795004
0;0;0.713541669;1;1;1;0.8493068109999999;0.999622348;0.999622348;;1.0;1.0;1.0;1.0;1.0;0.30726236889567676;0.30726236889567676;
0;0;0.967783774;1;1;1;0.915302089;0.999700073;0.999700073;1.0;1.0;1.0;;1.0;1.0;0.28316335957052563;0.28316335957052563;-0.18862382502860303
0;0;0.6576820560000001;1;1;1;1.0;0.999848186;0.999848186;;1.0;1.0;1.0;1.0;1.0;0.2605987620285215;0.2605987620285215;-0.25174827304761427
1;0;0.546060879;1;1;1;0.909543193;0.999030296;0.999030296;1.0;1.0;1.0;1.0;1.0;1.0;0.36750989220855457;0.36750989220855457;-0.36750989220855457
0;0;0.934144301;1;1;1;0.82316534;0.999494507;0.999494507;1.0;1.0;1.0;;1.0;1.0;0.2572263857652138;0.2572263857652138;-0.2572263857652138
1;0;0.86091389;1;1;1;0.7767857140000001;0.99970929;0.99970929;1.0;1.0;1.0;;1.0;1.0;0.14360982444252643;0.14360982444252643;-0.14360982444252643
0;0;0.8213744040000001;1;1;1;0.939722725;0.999439954;0.999439954;;1.0;1.0;1.0;1.0;1.0;0.3507632533162006;0.3507632533162006;-0.3507632533162006
0;0;0.926358163;1;1;1;1.0;0.999741792;0.999741792;1.0;1.0;1.0;;1.0;1.0;0.21086633159507226;0.21086633159507226;-0.11607620001760185
1;0;0.508624052;1;1;1;1.0;0.999752114;0.999752114;;1.0;1.0;1.0;1.0;1.0;0.11863420280034791;0.11863420280034791;-0.11863420280034791
0;0;0.910753944;1;1;1;0.923896499;0.998314174;0.998314174;1.0;1.0;1.0;;1.0;1.0;0.41695801924563436;0.41695801924563436;-0.41695801924563436
0;0;0.937711496;1;1;1;1.0;0.99926325;0.99926325;1.0;1.0;1.0;;1.0;1.0;0.30726236889567676;0.30726236889567676;-0.30726236889567676
0;0;0.967865584;1;1;1;0.945175439;0.999826827;0.999826827;1.0;1.0;1.0;;1.0;1.0;0.20604887854797269;0.20604887854797269;
0;0;0.953819767;1;1;1;0.858836815;0.998130413;0.998130413;1.0;1.0;1.0;;1.0;1.0;0.40922379553556737;0.40922379553556737;-0.40922379553556737
0;0;0.987492107;1;1;1;1.0;0.999621451;0.999621451;1.0;1.0;1.0;;1.0;1.0;0.1747178176073456;0.1747178176073456;-0.1747178176073456
0;0;0.823582638;1;1;1;0.915302089;0.999425681;0.999425681;1.0;1.0;1.0;;1.0;1.0;0.37414747020394734;0.37414747020394734;-0.37414747020394734
0;0;0.900552128;1;1;1;0.948024948;0.999741811;0.999741811;1.0;1.0;1.0;1.0;1.0;1.0;0.2349653409202234;0.2349653409202234;-0.2349653409202234
0;0;0.95041438;1;1;1;1.0;0.999659307;0.999659307;1.0;1.0;1.0;;1.0;1.0;0.26891849420908714;0.26891849420908714;-0.26891849420908714
0;0;0.8060751740000001;1;1;1;0.939722725;0.998968702;0.998968702;1.0;1.0;1.0;1.0;1.0;1.0;0.2572263857652138;0.2572263857652138;-0.2572263857652138
0;0;0.8060575209999999;1;1;1;0.836372137;0.999133041;0.999133041;1.0;1.0;1.0;1.0;1.0;1.0;0.2560001218323297;0.2560001218323297;-0.2560001218323297
0;0;0.7323168059999999;1;1;1;0.864498645;0.999798034;0.999798034;1.0;1.0;1.0;1.0;1.0;1.0;0.031219527052723135;0.031219527052723135;-0.031219527052723135
0;0;0.947073645;1;1;1;1.0;0.998913751;0.998913751;1.0;1.0;1.0;;1.0;1.0;0.37786820494135615;0.37786820494135615;-0.37786820494135615
0;0;0.623022874;1;1;1;0.925595238;0.999548288;0.999548288;1.0;1.0;1.0;1.0;1.0;1.0;0.22291583625764785;0.22291583625764785;-0.0435285750066007
0;0;0.977693325;1;1;1;0.945175439;0.999800685;0.999800685;1.0;1.0;1.0;;1.0;1.0;0.30726236889567676;0.30726236889567676;-0.30726236889567676
1;0;0.69590345;1;1;1;1.0;0.95732451;0.95732451;1.0;1.0;1.0;1.0;1.0;1.0;0.3257484525356518;0.3257484525356518;-0.3257484525356518
0;0;0.7716306759999999;1;1;1;0.7767857140000001;0.999873759;0.999873759;1.0;1.0;1.0;1.0;1.0;1.0;0.16266831294477005;0.16266831294477005;-0.16266831294477005
1;0;0.760673052;1;1;1;0.887069452;0.995828571;0.995828571;1.0;1.0;1.0;1.0;1.0;1.0;0.3257484525356518;0.3257484525356518;-0.3257484525356518
