Actual;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability;LIME Subset Stability;LIME Weight Stability;LIME Adjusted Weight Stability;ACV Subset Stability;ACV Weight Stability;ACV Adjusted Weight Stability;LINDA Subset Stability;LINDA Weight Stability;LINDA Adjusted Weight Stability;MAPE Correctness;RMSE Correctness;R2 Correctness
1;0;0.987090757;0.877899878;0.992600276;0.992600276;1.0;0.996663092;0.996663092;1.0;1.0;1.0;;1.0;1.0;0.09473684210526316;0.09473684210526316;-0.09473684210526316
0;0;0.999607415;0.693564862;0.989227014;0.989227014;1.0;0.995555636;0.995555636;1.0;1.0;1.0;;1.0;1.0;0.3368421052631579;0.3368421052631579;-0.3368421052631579
0;0;0.999743434;0.769585253;0.978274708;0.978274708;1.0;0.994789263;0.994789263;1.0;1.0;1.0;;1.0;1.0;0.35789473684210527;0.3473684210526316;-0.3473684210526316
0;0;0.997305765;0.694749695;0.900793471;0.900793471;1.0;0.996508359;0.996508359;1.0;1.0;1.0;;1.0;1.0;0.16842105263157894;0.1473684210526316;-0.1473684210526316
0;0;0.999999738;0.877899878;0.988536511;0.988536511;1.0;0.997691666;0.997691666;1.0;1.0;1.0;;1.0;1.0;0.21635959217761205;0.2269137186253004;
1;0;0.999685684;0.796195652;0.981697813;0.981697813;1.0;0.993899373;0.993899373;1.0;1.0;1.0;;1.0;1.0;0.17894736842105263;0.22105263157894736;-0.22105263157894736
0;0;0.961153536;1.0;0.996599689;0.996599689;1.0;0.994879061;0.994879061;1.0;1.0;1.0;1.0;1.0;1.0;-0.005277063223844196;-0.015831189671532585;0.015831189671532585
0;0;1.0;0.877899878;0.992317892;0.992317892;1.0;0.940661458;0.940661458;1.0;1.0;1.0;;1.0;1.0;0.37894736842105264;0.37894736842105264;-0.37894736842105264
0;0;0.975077962;0.763257576;0.980473946;0.980473946;1.0;0.994558461;0.994558461;1.0;1.0;1.0;;1.0;1.0;0.17414308638685846;0.18469721283454688;-0.18469721283454688
0;0;0.99917145;0.666666667;0.985613755;0.985613755;1.0;0.993771954;0.993771954;1.0;1.0;1.0;;1.0;1.0;0.28421052631578947;0.2947368421052632;-0.2947368421052632
0;0;0.998455638;0.744637385;0.897289282;0.897289282;1.0;0.9961833;0.9961833;1.0;1.0;1.0;;1.0;1.0;0.17414308638685846;0.18469721283454688;
1;0;0.897020679;0.7777777779999999;0.984072079;0.984072079;1.0;0.9943208;0.9943208;;1.0;1.0;;1.0;1.0;0.2736842105263158;0.2631578947368421;-0.2631578947368421
0;0;0.757167431;0.877899878;0.990267065;0.990267065;1.0;0.996918224;0.996918224;;1.0;1.0;;1.0;1.0;0.2105263157894737;0.2631578947368421;
0;0;0.991366031;0.763257576;0.967206502;0.967206502;1.0;0.996634466;0.996634466;1.0;1.0;1.0;;1.0;1.0;0.2631578947368421;0.2736842105263158;-0.2736842105263158
0;0;0.999948352;0.6603260870000001;0.981255989;0.981255989;1.0;0.991321429;0.991321429;1.0;1.0;1.0;;1.0;1.0;0.3263157894736842;0.3473684210526316;-0.3473684210526316
0;0;0.755725313;0.877899878;0.988685867;0.988685867;1.0;0.997259547;0.997259547;;1.0;1.0;;1.0;1.0;0.2631578947368421;0.2947368421052632;-0.2947368421052632
0;0;0.999094922;0.763257576;0.981215461;0.981215461;1.0;0.99730548;0.99730548;1.0;1.0;1.0;;1.0;1.0;0.3684210526315789;0.4105263157894737;-0.4105263157894737
1;0;0.591109515;1.0;0.987146225;0.987146225;1.0;0.995937028;0.995937028;;1.0;1.0;1.0;1.0;1.0;0.17414308638685846;0.19525133928223526;-0.19525133928223526
0;0;0.999999997;0.694749695;0.913420152;0.913420152;0.6927803379999999;0.994739745;0.994739745;1.0;1.0;1.0;;1.0;1.0;0.4736842105263158;0.4736842105263158;-0.4736842105263158
0;0;0.999974446;0.822695035;0.991585729;0.991585729;1.0;0.962153435;0.962153435;1.0;1.0;1.0;;1.0;1.0;0.15789473684210525;0.15789473684210525;-0.15789473684210525
1;0;0.98059367;0.877899878;0.961768659;0.961768659;1.0;0.997123442;0.997123442;;1.0;1.0;;1.0;1.0;0.3473684210526316;0.3263157894736842;-0.3263157894736842
0;0;0.999999994;0.693564862;0.978395725;0.978395725;1.0;0.992838315;0.992838315;1.0;1.0;1.0;;1.0;1.0;0.28421052631578947;0.3157894736842105;-0.3157894736842105
