Case ID;Actual;Prefix Length;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability;SHAP Precision;SHAP Recall;SHAP Correlation;LIME Precision;LIME Recall;LIME Correlation
CMM_12;1;12;1;0.9928985920820768;1.0;1.0;1.0;0.0;0.0;0.4829945716651649;0.0;0.0;-0.0010963775365202058
RMEA_12;1;12;1;0.9970493087842954;1.0;1.0;1.0;0.0;0.0;0.4756738526485785;0.0;0.0;0.024288219480208883
RVAA_12;0;12;0;0.9999589443275594;1.0;1.0;1.0;0.0;0.0;0.4760792344833731;0.0;0.0;0.058957455094496465
SXPA_12;0;12;0;0.999999874640312;1.0;1.0;1.0;0.0;0.0;0.4789276780890477;0.0;0.0;0.04326246495458109
VLOA_12;1;12;1;0.997473193316269;1.0;1.0;1.0;0.0;0.0;0.480121129836179;0.0;0.0;0.08849050765481552
WIU_12;0;12;0;0.9999999999365804;1.0;1.0;1.0;0.0;0.0;0.4782615685703155;0.0;0.0;0.06603946134391077
WPRC_12;1;12;1;0.989938157072054;1.0;1.0;1.0;0.0;0.0;0.4793222891617307;0.0;0.0;0.03492604476698601
WXY_12;0;12;0;0.9999989544250616;1.0;1.0;1.0;0.0;0.0;0.4829468796846008;0.0;0.0;0.0239326375764726
ATH_13;1;13;1;0.9990984529241834;1.0;1.0;1.0;1.0;1.0;0.4214116673101162;1.0;1.0;0.17961856523048966
BPH_13;1;13;1;0.9401301130888438;1.0;1.0;1.0;1.0;1.0;0.4269618107597177;1.0;1.0;0.1722032024386501
LHH_13;1;13;1;0.9985443524641668;1.0;1.0;1.0;1.0;1.0;0.4204525694184965;1.0;1.0;0.19860093406008547
MWZ_13;0;13;0;0.9940710845676262;1.0;1.0;1.0;0.0;0.0;0.4274740546444422;1.0;1.0;0.13206665140514942
PBE_13;1;13;1;0.859496059023784;1.0;1.0;1.0;0.0;0.0;0.4269117872728333;1.0;1.0;0.11987569898361382
QIE_13;0;13;0;0.9987445473523496;1.0;1.0;1.0;0.0;0.0;0.4208945913502589;1.0;1.0;0.10472100123912612
WYBB_13;0;13;0;0.9999434560709358;1.0;1.0;1.0;0.0;0.0;0.4269529287878291;1.0;1.0;0.13827011833618677
XHDE_13;0;13;0;0.9997236126939292;1.0;1.0;1.0;0.0;0.0;0.4278227411923148;1.0;1.0;0.11260432381880024
BEV_14;0;14;0;0.9999296254646698;1.0;1.0;1.0;0.0;0.0;0.5503269644586156;1.0;1.0;0.03912292780011484
IOEE_14;1;14;0;0.9999984740368502;1.0;1.0;1.0;0.0;0.0;0.5402498873412132;1.0;1.0;0.1251195521154616
JAL_14;0;14;0;0.999883095911777;1.0;1.0;1.0;0.0;0.0;0.5402417513361909;1.0;1.0;0.03781435645860156
LHH_14;1;14;1;0.9999983862863012;1.0;1.0;1.0;1.0;1.0;0.5403355178362911;1.0;1.0;0.15989735199952596
RMEA_14;1;14;1;0.9983329846983192;1.0;1.0;1.0;0.0;0.0;0.5428914732548996;1.0;1.0;0.12307281232488956
WQFA_14;0;14;0;0.9999712402873128;1.0;1.0;1.0;0.0;0.0;0.5501804683242804;1.0;1.0;0.06878387820774907
XOO_14;0;14;0;0.9999999992597404;1.0;1.0;1.0;0.0;0.0;0.5444995803503919;1.0;1.0;0.0896706900049802
ZVMD_14;1;14;0;0.9962074143765712;1.0;1.0;1.0;0.0;0.0;0.5480812734267155;1.0;1.0;0.056033695905824854
