Actual;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability;LIME Subset Stability;LIME Weight Stability;LIME Adjusted Weight Stability;ACV Subset Stability;ACV Weight Stability;ACV Adjusted Weight Stability;LINDA Subset Stability;LINDA Weight Stability;LINDA Adjusted Weight Stability;SHAP Precision;SHAP Recall;SHAP Correlation;LIME Precision;LIME Recall;LIME Correlation;ACV Precision;ACV Recall;ACV Correlation;LINDA Precision;LINDA Recall;LINDA Correlation
0;0;1.0;1.0;0.8555254729999999;0.8555254729999999;0.740691489;0.8774297529999999;0.8774297529999999;1.0;1.0;1.0;;1.0;1.0;1.0;1.0;0.716508419258115;0.0;0.0;0.4332399702057725;1.0;1.0;0.2620899394276256;0.009615384615384616;1.0;0.0
0;0;1.0;1.0;0.5708431420000001;0.5708431420000001;0.668252983;0.873111132;0.873111132;1.0;1.0;1.0;;1.0;1.0;1.0;1.0;0.6836933615969133;1.0;1.0;0.4812774490836029;1.0;1.0;0.3149005395106149;0.009615384615384616;1.0;0.0
1;0;0.867569131;1.0;0.928247309;0.928247309;0.693977011;0.880920825;0.880920825;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.6927054969804556;0.0;0.0;0.4917359423504564;0.0;0.0;0.24328838788295026;0.5;1.0;0.25610071699827136
0;0;1.0;1.0;0.77715091;0.77715091;0.708388357;0.7216921709999999;0.7216921709999999;1.0;1.0;1.0;;1.0;1.0;1.0;1.0;0.6607533806206238;1.0;1.0;0.5048090589340234;0.0;0.0;0.3288774012167532;0.009615384615384616;1.0;0.0
0;0;0.999999152;1.0;0.846107543;0.846107543;0.711879433;0.8742632709999999;0.8742632709999999;1.0;1.0;1.0;;1.0;1.0;1.0;1.0;0.6834247076469212;0.0;0.0;0.4683473471017575;0.0;0.0;0.2620899394276256;0.009615384615384616;1.0;0.0
0;0;0.999999926;1.0;0.866070331;0.866070331;0.7230113640000001;0.903165078;0.903165078;1.0;1.0;1.0;;1.0;1.0;1.0;1.0;0.7212641707038498;1.0;1.0;0.4461667931163085;0.0;0.0;0.2887893836639636;0.009615384615384616;1.0;0.0
0;0;1.0;1.0;0.596025617;0.596025617;0.70807837;0.814111354;0.814111354;1.0;1.0;1.0;;1.0;1.0;1.0;1.0;0.7095777546052627;1.0;1.0;0.4130719026272279;1.0;1.0;0.27750611884676457;0.009615384615384616;1.0;0.0
1;0;0.6832289709999999;1.0;0.852809543;0.852809543;0.738194444;0.426963246;0.426963246;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.6887495630256506;0.0;0.0;0.48776844921443;0.0;0.0;0.2338518056583036;0.0;0.0;0.3749821912472561
1;0;0.802507705;1.0;0.690259979;0.690259979;0.728855502;0.896697737;0.896697737;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.6533798153068165;0.0;0.0;0.489121319033743;1.0;1.0;0.13871390267809874;0.3333333333333333;1.0;0.27557531040871924
0;0;1.0;1.0;0.950263536;0.950263536;0.737066212;-0.053652598;-0.053652598;1.0;1.0;1.0;;1.0;1.0;1.0;1.0;0.6584388477928833;0.0;0.0;0.48627451828268603;1.0;1.0;0.3225338754098091;0.009615384615384616;1.0;0.0
0;0;1.0;1.0;0.579899057;0.579899057;0.697473404;0.890294245;0.890294245;1.0;1.0;1.0;;1.0;1.0;0.0;0.0;0.6814474098378033;0.0;0.0;0.4918767592767262;0.0;0.0;0.2710694662602637;0.009615384615384616;1.0;0.0
0;0;0.997590269;1.0;0.928972709;0.928972709;0.672485984;0.914639553;0.914639553;1.0;1.0;1.0;;1.0;1.0;1.0;1.0;0.6722233711087685;0.0;0.0;0.4775422729168694;1.0;1.0;0.2832883828711721;0.009615384615384616;1.0;0.0
0;0;0.999999929;1.0;0.8897018;0.8897018;0.7408909709999999;0.89651988;0.89651988;1.0;1.0;1.0;;1.0;1.0;1.0;1.0;0.7230313977549173;1.0;1.0;0.44967321045495695;0.0;0.0;0.2824963207639774;0.009615384615384616;1.0;0.0
0;0;0.996831056;1.0;0.840771094;0.840771094;0.747027027;0.773454063;0.773454063;1.0;1.0;1.0;;1.0;1.0;1.0;1.0;0.6699077670701467;0.0;0.0;0.4799253118227738;1.0;1.0;0.2432656665765376;0.009615384615384616;1.0;0.0
0;0;1.0;1.0;0.580713669;0.580713669;0.692026059;0.87873447;0.87873447;1.0;1.0;1.0;;1.0;1.0;1.0;1.0;0.6715461841097556;1.0;1.0;0.4911297938108542;1.0;1.0;0.22330755074978148;0.009615384615384616;1.0;0.0
0;0;0.901715781;1.0;0.700724743;0.700724743;0.7036562129999999;0.81068838;0.81068838;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.6603437381031899;0.0;0.0;0.49547111851719;1.0;1.0;0.13871390267809874;0.3333333333333333;1.0;0.27277189931605683
0;0;0.988703842;1.0;0.936811261;0.936811261;0.7384305840000001;0.588250265;0.588250265;1.0;1.0;1.0;;1.0;1.0;1.0;1.0;0.6944840226642822;0.0;0.0;0.4690943125676295;0.0;0.0;0.2647497064665096;0.009615384615384616;1.0;0.0
1;0;0.929032187;1.0;0.81443318;0.81443318;0.7666864090000001;0.8151537190000001;0.8151537190000001;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.6873801442538171;0.0;0.0;0.4685778501167092;1.0;1.0;0.26600308607592515;0.0;0.0;0.2104700168267115
0;0;1.0;1.0;0.535201206;0.535201206;0.630232602;0.829665445;0.829665445;1.0;1.0;1.0;;1.0;1.0;1.0;1.0;0.6861311196874752;1.0;1.0;0.4773109326922218;0.0;0.0;0.35211004786146843;0.009615384615384616;1.0;0.0
1;0;0.995186845;1.0;0.748659408;0.748659408;0.738688778;0.820850245;0.820850245;;1.0;1.0;;1.0;1.0;1.0;1.0;0.7082169952021409;0.0;0.0;0.4924829775838032;0.0;0.0;0.0;0.009615384615384616;1.0;0.0
0;0;0.999869799;1.0;0.797813694;0.797813694;0.739702517;0.8804913540000001;0.8804913540000001;1.0;1.0;1.0;;1.0;1.0;1.0;1.0;0.6887495630256506;0.0;0.0;0.4773109326922218;0.0;0.0;0.21841313867855336;0.009615384615384616;1.0;0.0
0;0;0.991708685;1.0;0.7348606940000001;0.7348606940000001;0.751356322;0.905098179;0.905098179;1.0;1.0;1.0;;1.0;1.0;1.0;1.0;0.6916167928449664;0.0;0.0;0.4918767592767262;0.0;0.0;0.1954964382622438;0.009615384615384616;1.0;0.0
0;0;0.972584738;1.0;0.93648782;0.93648782;0.743940472;0.760330107;0.760330107;;1.0;1.0;;1.0;1.0;1.0;1.0;0.6988501347419618;0.0;0.0;0.4921094599671298;0.0;0.0;0.0;0.009615384615384616;1.0;0.0
0;0;1.0;1.0;0.8721682409999999;0.8721682409999999;0.701281485;0.929249929;0.929249929;1.0;1.0;1.0;;1.0;1.0;1.0;1.0;0.6775487238354071;1.0;1.0;0.5055560941673701;1.0;1.0;0.3043732454529012;0.009615384615384616;1.0;0.0
0;0;0.999999976;1.0;0.918167591;0.918167591;0.747222222;0.716901371;0.716901371;1.0;1.0;1.0;;1.0;1.0;1.0;0.5;0.6981704610034026;0.0;0.0;0.4832866564191979;1.0;0.5;0.17414745051223635;0.019230769230769232;1.0;0.0
