Actual;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability;LIME Subset Stability;LIME Weight Stability;LIME Adjusted Weight Stability;ACV Subset Stability;ACV Weight Stability;ACV Adjusted Weight Stability;LINDA Subset Stability;LINDA Weight Stability;LINDA Adjusted Weight Stability;MAPE Correctness;RMSE Correctness;R2 Correctness
0;0;0.997325402;1;1;1;0.8419188759999999;0.973016354;0.973016354;1.0;1.0;1.0;;1.0;1.0;0.8536876499156094;0.8563425182118225;-0.13085984406795395
0;0;0.99314249;1;1;1;0.8728781059999999;-1.126234738;-1.126234738;1.0;1.0;1.0;;1.0;1.0;0.8669619913966746;0.8731566840878382;-0.8731566840878382
0;0;0.958709257;1;1;1;0.935742531;0.978425455;0.978425455;1.0;1.0;1.0;;1.0;1.0;0.8675519621291664;0.8699118450591334;-0.13085984406795395
0;0;0.999652353;1;1;1;0.779245283;0.970417937;0.970417937;1.0;1.0;1.0;;1.0;1.0;0.8625372109029862;0.865487064565445;-0.865487064565445
0;0;0.999633053;1;1;1;0.8123987309999999;0.948955853;0.948955853;1.0;1.0;1.0;;1.0;1.0;0.8534555504169224;0.8620107564183365;-0.8619472401704944
0;0;0.999437908;1;1;1;0.795982423;0.979418724;0.979418724;1.0;1.0;1.0;;1.0;1.0;0.8513277669856423;0.857817445043052;-0.857817445043052
0;0;0.999464528;1;1;1;0.83401901;0.976460494;0.976460494;1.0;1.0;1.0;;1.0;1.0;0.8581124304092979;0.8616522548042485;-0.13085984406795395
0;0;0.999447504;1;1;1;0.8792857140000001;0.936482042;0.936482042;1.0;1.0;1.0;;1.0;1.0;0.8563425182118225;0.8595873572405273;-0.8595873572405273
0;0;0.955952775;1;1;1;0.817050288;0.983922297;0.983922297;1.0;1.0;1.0;;1.0;1.0;0.8646021084667074;0.868436918227904;-0.868436918227904
0;0;0.996876407;1;1;1;0.909794609;0.986405138;0.986405138;1.0;1.0;1.0;;1.0;1.0;0.8539826352818553;0.8595873572405273;-0.13085984406795395
0;0;0.998185173;1;1;1;0.84879584;0.98546327;0.98546327;1.0;1.0;1.0;;1.0;1.0;0.8569324889443143;0.8592923718742814;-0.13085984406795395
0;0;0.999959508;1;1;1;0.8182692309999999;0.98322679;0.98322679;1.0;1.0;1.0;;1.0;1.0;0.8699118450591334;0.8752215816515595;-0.8752215816515595
0;0;0.990078579;1;1;1;0.809900347;0.972653208;0.972653208;1.0;1.0;1.0;;1.0;1.0;0.8755165670178053;0.8781714353140185;-0.8781714353140185
0;0;0.996000461;1;1;1;0.858622801;0.95117806;0.95117806;1.0;1.0;1.0;;1.0;1.0;0.8581124304092979;0.8598823426067732;-0.8598823426067732
0;0;0.999489282;1;1;1;0.8123987309999999;0.985006059;0.985006059;1.0;1.0;1.0;;1.0;1.0;0.8525077084506258;0.8575224596768061;-0.8575224596768061
0;0;0.883093053;1;1;1;0.863157895;0.987366188;0.987366188;1.0;1.0;1.0;;1.0;1.0;0.8814162743427232;0.8846611133714279;-0.13085984406795395
0;0;0.997801906;1;1;1;0.8684171070000001;0.949635095;0.949635095;1.0;1.0;1.0;;1.0;1.0;0.8542776206481012;0.8587024011417896;-0.13085984406795395
0;0;0.997454933;1;1;1;0.902162014;0.986806572;0.986806572;1.0;1.0;1.0;;1.0;1.0;0.8483779133231835;0.8557525474793307;-0.8557525474793307
0;0;0.999715813;1;1;1;0.789471962;0.98191214;0.98191214;1.0;1.0;1.0;;1.0;1.0;0.8581124304092979;0.8607672987055108;-0.8607672987055108
0;0;0.999929882;1;1;1;0.7993138940000001;0.977256389;0.977256389;1.0;1.0;1.0;;1.0;1.0;0.875286076075703;0.8794161755246616;-0.13085984406795395
0;0;0.998942545;1;1;1;0.835576923;0.98384376;0.98384376;1.0;1.0;1.0;;1.0;1.0;0.8530976791831176;0.8584074157755437;-0.13085984406795395
