iter;dataset;cls;method;param;value;score
2;bpic2011_f1;decision_tree;single_agg;criterion;entropy;0.9974989642898314
2;bpic2011_f1;decision_tree;single_agg;max_features;0.42551138042081404;0.9974989642898314
2;bpic2011_f1;decision_tree;single_agg;min_samples_split;0.9341565523779648;0.9974989642898314
2;bpic2011_f1;decision_tree;single_agg;splitter;best;0.9974989642898314
2;bpic2011_f1;decision_tree;single_agg;processing_time;7.5129289627075195;0
3;bpic2011_f1;decision_tree;single_agg;criterion;gini;0.9972604060718581
3;bpic2011_f1;decision_tree;single_agg;max_features;0.14426945350866827;0.9972604060718581
3;bpic2011_f1;decision_tree;single_agg;min_samples_split;0.3617898369970145;0.9972604060718581
3;bpic2011_f1;decision_tree;single_agg;splitter;random;0.9972604060718581
3;bpic2011_f1;decision_tree;single_agg;processing_time;7.615443229675293;0
4;bpic2011_f1;decision_tree;single_agg;criterion;entropy;0.9978967631604263
4;bpic2011_f1;decision_tree;single_agg;max_features;0.005560726163863383;0.9978967631604263
4;bpic2011_f1;decision_tree;single_agg;min_samples_split;0.6696626590633963;0.9978967631604263
4;bpic2011_f1;decision_tree;single_agg;splitter;best;0.9978967631604263
4;bpic2011_f1;decision_tree;single_agg;processing_time;7.582248210906982;0
5;bpic2011_f1;decision_tree;single_agg;criterion;gini;0.997936573423931
5;bpic2011_f1;decision_tree;single_agg;max_features;0.06226715449578746;0.997936573423931
5;bpic2011_f1;decision_tree;single_agg;min_samples_split;0.05048973450291905;0.997936573423931
5;bpic2011_f1;decision_tree;single_agg;splitter;best;0.997936573423931
5;bpic2011_f1;decision_tree;single_agg;processing_time;7.517790794372559;0
6;bpic2011_f1;decision_tree;single_agg;criterion;entropy;0.9975783102865075
6;bpic2011_f1;decision_tree;single_agg;max_features;0.4160073420079561;0.9975783102865075
6;bpic2011_f1;decision_tree;single_agg;min_samples_split;0.532163120853109;0.9975783102865075
6;bpic2011_f1;decision_tree;single_agg;splitter;random;0.9975783102865075
6;bpic2011_f1;decision_tree;single_agg;processing_time;7.479727506637573;0
7;bpic2011_f1;decision_tree;single_agg;criterion;gini;0.9981750372578863
7;bpic2011_f1;decision_tree;single_agg;max_features;0.292374522437309;0.9981750372578863
7;bpic2011_f1;decision_tree;single_agg;min_samples_split;0.19288609938576662;0.9981750372578863
7;bpic2011_f1;decision_tree;single_agg;splitter;best;0.9981750372578863
7;bpic2011_f1;decision_tree;single_agg;processing_time;7.508045434951782;0
8;bpic2011_f1;decision_tree;single_agg;criterion;gini;0.9980162695580255
8;bpic2011_f1;decision_tree;single_agg;max_features;0.4498077397823318;0.9980162695580255
8;bpic2011_f1;decision_tree;single_agg;min_samples_split;0.07247438729524269;0.9980162695580255
8;bpic2011_f1;decision_tree;single_agg;splitter;random;0.9980162695580255
8;bpic2011_f1;decision_tree;single_agg;processing_time;7.352808475494385;0
9;bpic2011_f1;decision_tree;single_agg;criterion;gini;0.9983342398333623
9;bpic2011_f1;decision_tree;single_agg;max_features;0.6085441023416122;0.9983342398333623
9;bpic2011_f1;decision_tree;single_agg;min_samples_split;0.8543981457880934;0.9983342398333623
9;bpic2011_f1;decision_tree;single_agg;splitter;random;0.9983342398333623
9;bpic2011_f1;decision_tree;single_agg;processing_time;7.7160773277282715;0
10;bpic2011_f1;decision_tree;single_agg;criterion;gini;0.9976980341966271
10;bpic2011_f1;decision_tree;single_agg;max_features;0.8945304224890737;0.9976980341966271
10;bpic2011_f1;decision_tree;single_agg;min_samples_split;0.4387635880914833;0.9976980341966271
10;bpic2011_f1;decision_tree;single_agg;splitter;random;0.9976980341966271
10;bpic2011_f1;decision_tree;single_agg;processing_time;7.520739555358887;0
11;bpic2011_f1;decision_tree;single_agg;criterion;entropy;0.9970213549036598
11;bpic2011_f1;decision_tree;single_agg;max_features;0.7281601926957696;0.9970213549036598
11;bpic2011_f1;decision_tree;single_agg;min_samples_split;0.5604053143681118;0.9970213549036598
11;bpic2011_f1;decision_tree;single_agg;splitter;random;0.9970213549036598
11;bpic2011_f1;decision_tree;single_agg;processing_time;7.696479320526123;0
