Case ID;Actual;Prefix Length;Prediction;Prediction Probability;MAPE Correctness;RMSE Correctness;R2 Correctness;Mode
Case102;1;1;1;0.5841584158415841;;;;baseline_0
Case136;0;1;0;0.6888888888888889;1.0;1.0;-1.0;baseline_0
Case205;0;1;1;0.5841584158415841;;;;baseline_0
Case209;0;1;1;0.5841584158415841;;;;baseline_0
Case214;1;1;1;0.5841584158415841;;;;baseline_0
Case268;1;1;1;0.5841584158415841;;;;baseline_0
Case5;0;1;0;0.6888888888888889;1.0;1.0;-1.0;baseline_0
Case85;1;1;1;0.5841584158415841;;;;baseline_0
Case102;1;1;1;0.5841584158415841;;;;baseline_0
Case136;0;1;0;0.6888888888888889;1.0;1.0;-1.0;baseline_0
Case205;0;1;1;0.5841584158415841;;;;baseline_0
Case209;0;1;1;0.5841584158415841;;;;baseline_0
Case214;1;1;1;0.5841584158415841;;;;baseline_0
Case268;1;1;1;0.5841584158415841;;;;baseline_0
Case5;0;1;0;0.6888888888888889;1.0;1.0;-1.0;baseline_0
Case85;1;1;1;0.5841584158415841;;;;baseline_0
Case102;1;1;1;0.5841584158415841;;;;baseline_0
Case136;0;1;0;0.6888888888888889;1.0;1.0;-1.0;baseline_0
Case205;0;1;1;0.5841584158415841;;;;baseline_0
Case209;0;1;1;0.5841584158415841;;;;baseline_0
Case214;1;1;1;0.5841584158415841;;;;baseline_0
Case268;1;1;1;0.5841584158415841;;;;baseline_0
Case5;0;1;0;0.6888888888888889;1.0;1.0;-1.0;baseline_0
Case85;1;1;1;0.5841584158415841;;;;baseline_0
Case102;1;1;1;0.5841584158415841;;;;baseline_0
Case136;0;1;0;0.6888888888888889;1.0;1.0;-1.0;baseline_0
Case205;0;1;1;0.5841584158415841;;;;baseline_0
Case209;0;1;1;0.5841584158415841;;;;baseline_0
Case214;1;1;1;0.5841584158415841;;;;baseline_0
Case268;1;1;1;0.5841584158415841;;;;baseline_0
Case5;0;1;0;0.6888888888888889;1.0;1.0;-1.0;baseline_0
Case85;1;1;1;0.5841584158415841;;;;baseline_0
Case102;1;1;1;0.5841584158415841;;;;baseline_0
Case136;0;1;0;0.6888888888888889;1.0;1.0;-1.0;baseline_0
Case205;0;1;1;0.5841584158415841;;;;baseline_0
Case209;0;1;1;0.5841584158415841;;;;baseline_0
Case214;1;1;1;0.5841584158415841;;;;baseline_0
Case268;1;1;1;0.5841584158415841;;;;baseline_0
Case5;0;1;0;0.6888888888888889;1.0;1.0;-1.0;baseline_0
Case85;1;1;1;0.5841584158415841;;;;baseline_0
Case123_2;1;2;1;0.9230769230769232;1.0;1.0;-1.0;baseline_0
Case192_2;0;2;0;0.6666666666666666;0.35309841404074677;0.35309841404074677;-0.35309841404074677;baseline_0
Case200_2;1;2;1;0.72;0.6994097304812757;0.6994097304812757;-0.6994097304812757;baseline_0
Case239_2;0;2;1;0.65;0.5647628168864113;0.5647628168864113;-0.5647628168864113;baseline_0
Case45_2;1;2;1;0.65;0.5647628168864113;0.5647628168864113;-0.5647628168864113;baseline_0
Case72_2;0;2;0;0.6666666666666666;0.35309841404074677;0.35309841404074677;-0.35309841404074677;baseline_0
Case74_2;0;2;0;0.6666666666666666;0.35309841404074677;0.35309841404074677;-0.35309841404074677;baseline_0
Case91_2;1;2;1;1.0;0.4276563534415585;0.4276563534415585;-0.4276563534415585;baseline_0
Case123_2;1;2;1;0.9230769230769232;1.0;1.0;-1.0;baseline_0
Case192_2;0;2;0;0.6666666666666666;0.35309841404074677;0.35309841404074677;-0.35309841404074677;baseline_0
Case200_2;1;2;1;0.72;0.6994097304812757;0.6994097304812757;-0.6994097304812757;baseline_0
Case239_2;0;2;1;0.65;0.5647628168864113;0.5647628168864113;-0.5647628168864113;baseline_0
Case45_2;1;2;1;0.65;0.5647628168864113;0.5647628168864113;-0.5647628168864113;baseline_0
Case72_2;0;2;0;0.6666666666666666;0.35309841404074677;0.35309841404074677;-0.35309841404074677;baseline_0
Case74_2;0;2;0;0.6666666666666666;0.35309841404074677;0.35309841404074677;-0.35309841404074677;baseline_0
Case91_2;1;2;1;1.0;0.4276563534415585;0.4276563534415585;-0.4276563534415585;baseline_0
Case123_2;1;2;1;0.9230769230769232;1.0;1.0;-1.0;baseline_0
Case192_2;0;2;0;0.6666666666666666;0.35309841404074677;0.35309841404074677;-0.35309841404074677;baseline_0
Case200_2;1;2;1;0.72;0.6994097304812757;0.6994097304812757;-0.6994097304812757;baseline_0
Case239_2;0;2;1;0.65;0.5647628168864113;0.5647628168864113;-0.5647628168864113;baseline_0
Case45_2;1;2;1;0.65;0.5647628168864113;0.5647628168864113;-0.5647628168864113;baseline_0
Case72_2;0;2;0;0.6666666666666666;0.35309841404074677;0.35309841404074677;-0.35309841404074677;baseline_0
Case74_2;0;2;0;0.6666666666666666;0.35309841404074677;0.35309841404074677;-0.35309841404074677;baseline_0
Case91_2;1;2;1;1.0;0.4276563534415585;0.4276563534415585;-0.4276563534415585;baseline_0
