Case ID;Actual;Prefix Length;Prediction;Prediction Probability;MAPE Correctness;RMSE Correctness;R2 Correctness;Mode
Case100;0;1;1;0.58;;;;baseline_0
Case135;1;1;0;0.6739130434782609;0.9999999999999998;0.9999999999999998;-0.9999999999999998;baseline_0
Case185;0;1;1;0.58;;;;baseline_0
Case196;1;1;1;0.58;;;;baseline_0
Case210;0;1;1;0.58;;;;baseline_0
Case237;1;1;1;0.58;;;;baseline_0
Case4;0;1;1;0.58;;;;baseline_0
Case45;1;1;1;0.58;;;;baseline_0
Case100;0;1;1;0.58;;;;baseline_0
Case135;1;1;0;0.6739130434782609;0.9999999999999998;0.9999999999999998;-0.9999999999999998;baseline_0
Case185;0;1;1;0.58;;;;baseline_0
Case196;1;1;1;0.58;;;;baseline_0
Case210;0;1;1;0.58;;;;baseline_0
Case237;1;1;1;0.58;;;;baseline_0
Case4;0;1;1;0.58;;;;baseline_0
Case45;1;1;1;0.58;;;;baseline_0
Case100;0;1;1;0.58;;;;baseline_0
Case135;1;1;0;0.6739130434782609;0.9999999999999998;0.9999999999999998;-0.9999999999999998;baseline_0
Case185;0;1;1;0.58;;;;baseline_0
Case196;1;1;1;0.58;;;;baseline_0
Case210;0;1;1;0.58;;;;baseline_0
Case237;1;1;1;0.58;;;;baseline_0
Case4;0;1;1;0.58;;;;baseline_0
Case45;1;1;1;0.58;;;;baseline_0
Case100;0;1;1;0.58;;;;baseline_0
Case135;1;1;0;0.6739130434782609;0.9999999999999998;0.9999999999999998;-0.9999999999999998;baseline_0
Case185;0;1;1;0.58;;;;baseline_0
Case196;1;1;1;0.58;;;;baseline_0
Case210;0;1;1;0.58;;;;baseline_0
Case237;1;1;1;0.58;;;;baseline_0
Case4;0;1;1;0.58;;;;baseline_0
Case45;1;1;1;0.58;;;;baseline_0
Case100;0;1;1;0.58;;;;baseline_0
Case135;1;1;0;0.6739130434782609;0.9999999999999998;0.9999999999999998;-0.9999999999999998;baseline_0
Case185;0;1;1;0.58;;;;baseline_0
Case196;1;1;1;0.58;;;;baseline_0
Case210;0;1;1;0.58;;;;baseline_0
Case237;1;1;1;0.58;;;;baseline_0
Case4;0;1;1;0.58;;;;baseline_0
Case45;1;1;1;0.58;;;;baseline_0
Case122_2;0;2;0;0.75;;;;baseline_0
Case185_2;0;2;0;0.75;;;;baseline_0
Case187_2;1;2;1;1.0;0.7002989877451302;0.7002989877451302;-0.7002989877451302;baseline_0
Case1_2;1;2;1;1.0;1.0;1.0;-1.0;baseline_0
Case208_2;1;2;1;0.5507246376811594;0.5662189414569802;0.5662189414569802;-0.5662189414569802;baseline_0
Case219_2;1;2;1;1.0;0.7002989877451302;0.7002989877451302;-0.7002989877451302;baseline_0
Case36_2;0;2;1;0.5507246376811594;0.5662189414569802;0.5662189414569802;-0.5662189414569802;baseline_0
Case7_2;0;2;1;0.5507246376811594;0.5662189414569802;0.5662189414569802;-0.5662189414569802;baseline_0
Case122_2;0;2;0;0.75;;;;baseline_0
Case185_2;0;2;0;0.75;;;;baseline_0
Case187_2;1;2;1;1.0;0.7002989877451302;0.7002989877451302;-0.7002989877451302;baseline_0
Case1_2;1;2;1;1.0;1.0;1.0;-1.0;baseline_0
Case208_2;1;2;1;0.5507246376811594;0.5662189414569802;0.5662189414569802;-0.5662189414569802;baseline_0
Case219_2;1;2;1;1.0;0.7002989877451302;0.7002989877451302;-0.7002989877451302;baseline_0
Case36_2;0;2;1;0.5507246376811594;0.5662189414569802;0.5662189414569802;-0.5662189414569802;baseline_0
Case7_2;0;2;1;0.5507246376811594;0.5662189414569802;0.5662189414569802;-0.5662189414569802;baseline_0
Case122_2;0;2;0;0.75;;;;baseline_0
Case185_2;0;2;0;0.75;;;;baseline_0
Case187_2;1;2;1;1.0;0.7002989877451302;0.7002989877451302;-0.7002989877451302;baseline_0
Case1_2;1;2;1;1.0;1.0;1.0;-1.0;baseline_0
Case208_2;1;2;1;0.5507246376811594;0.5662189414569802;0.5662189414569802;-0.5662189414569802;baseline_0
Case219_2;1;2;1;1.0;0.7002989877451302;0.7002989877451302;-0.7002989877451302;baseline_0
Case36_2;0;2;1;0.5507246376811594;0.5662189414569802;0.5662189414569802;-0.5662189414569802;baseline_0
Case7_2;0;2;1;0.5507246376811594;0.5662189414569802;0.5662189414569802;-0.5662189414569802;baseline_0
Case122_2;0;2;0;0.75;;;;baseline_0
Case185_2;0;2;0;0.75;;;;baseline_0
Case187_2;1;2;1;1.0;0.7002989877451302;0.7002989877451302;-0.7002989877451302;baseline_0
Case1_2;1;2;1;1.0;1.0;1.0;-1.0;baseline_0
Case208_2;1;2;1;0.5507246376811594;0.5662189414569802;0.5662189414569802;-0.5662189414569802;baseline_0
Case219_2;1;2;1;1.0;0.7002989877451302;0.7002989877451302;-0.7002989877451302;baseline_0
Case36_2;0;2;1;0.5507246376811594;0.5662189414569802;0.5662189414569802;-0.5662189414569802;baseline_0
Case7_2;0;2;1;0.5507246376811594;0.5662189414569802;0.5662189414569802;-0.5662189414569802;baseline_0
Case122_2;0;2;0;0.75;;;;baseline_0
Case185_2;0;2;0;0.75;;;;baseline_0
Case187_2;1;2;1;1.0;0.7002989877451302;0.7002989877451302;-0.7002989877451302;baseline_0
Case1_2;1;2;1;1.0;1.0;1.0;-1.0;baseline_0
Case208_2;1;2;1;0.5507246376811594;0.5662189414569802;0.5662189414569802;-0.5662189414569802;baseline_0
Case219_2;1;2;1;1.0;0.7002989877451302;0.7002989877451302;-0.7002989877451302;baseline_0
Case36_2;0;2;1;0.5507246376811594;0.5662189414569802;0.5662189414569802;-0.5662189414569802;baseline_0
Case7_2;0;2;1;0.5507246376811594;0.5662189414569802;0.5662189414569802;-0.5662189414569802;baseline_0
Case114_3;1;3;1;0.5555555555555556;0.619372950577263;0.619372950577263;-0.6187348206734272;baseline_0
Case153_3;0;3;0;1.0;;;;baseline_0
Case194_3;1;3;1;0.6;0.5805674825658058;0.5805674825658058;-0.5805674825658058;baseline_0
Case250_3;0;3;0;0.875;0.559134492779952;0.559134492779952;-0.560824438510199;baseline_0
Case46_3;0;3;1;0.6;0.5805674825658058;0.5805674825658058;-0.5805674825658058;baseline_0
Case69_3;0;3;0;1.0;;;;baseline_0
Case82_3;1;3;1;0.75;0.6994252265641001;0.6994252265641001;-0.6984810262964549;baseline_0
Case92_3;1;3;1;0.5555555555555556;0.6168805040960668;0.6168805040960668;-0.6187348206734272;baseline_0
Case114_3;1;3;1;0.5555555555555556;0.619372950577263;0.619372950577263;-0.6187348206734272;baseline_0
Case153_3;0;3;0;1.0;;;;baseline_0
Case194_3;1;3;1;0.6;0.5805674825658058;0.5805674825658058;-0.5805674825658058;baseline_0
Case250_3;0;3;0;0.875;0.559134492779952;0.559134492779952;-0.560824438510199;baseline_0
Case46_3;0;3;1;0.6;0.5805674825658058;0.5805674825658058;-0.5805674825658058;baseline_0
Case69_3;0;3;0;1.0;;;;baseline_0
Case82_3;1;3;1;0.75;0.6994252265641001;0.6994252265641001;-0.6984810262964549;baseline_0
Case92_3;1;3;1;0.5555555555555556;0.6168805040960668;0.6168805040960668;-0.6187348206734272;baseline_0
Case114_3;1;3;1;0.5555555555555556;0.619372950577263;0.619372950577263;-0.6187348206734272;baseline_0
Case153_3;0;3;0;1.0;;;;baseline_0
Case194_3;1;3;1;0.6;0.5805674825658058;0.5805674825658058;-0.5805674825658058;baseline_0
Case250_3;0;3;0;0.875;0.559134492779952;0.559134492779952;-0.560824438510199;baseline_0
Case46_3;0;3;1;0.6;0.5805674825658058;0.5805674825658058;-0.5805674825658058;baseline_0
Case69_3;0;3;0;1.0;;;;baseline_0
Case82_3;1;3;1;0.75;0.6994252265641001;0.6994252265641001;-0.6984810262964549;baseline_0
Case92_3;1;3;1;0.5555555555555556;0.6168805040960668;0.6168805040960668;-0.6187348206734272;baseline_0
Case114_3;1;3;1;0.5555555555555556;0.619372950577263;0.619372950577263;-0.6187348206734272;baseline_0
Case153_3;0;3;0;1.0;;;;baseline_0
Case194_3;1;3;1;0.6;0.5805674825658058;0.5805674825658058;-0.5805674825658058;baseline_0
Case250_3;0;3;0;0.875;0.559134492779952;0.559134492779952;-0.560824438510199;baseline_0
Case46_3;0;3;1;0.6;0.5805674825658058;0.5805674825658058;-0.5805674825658058;baseline_0
Case69_3;0;3;0;1.0;;;;baseline_0
Case82_3;1;3;1;0.75;0.6994252265641001;0.6994252265641001;-0.6984810262964549;baseline_0
Case92_3;1;3;1;0.5555555555555556;0.6168805040960668;0.6168805040960668;-0.6187348206734272;baseline_0
Case114_3;1;3;1;0.5555555555555556;0.619372950577263;0.619372950577263;-0.6187348206734272;baseline_0
Case153_3;0;3;0;1.0;;;;baseline_0
Case194_3;1;3;1;0.6;0.5805674825658058;0.5805674825658058;-0.5805674825658058;baseline_0
Case250_3;0;3;0;0.875;0.559134492779952;0.559134492779952;-0.560824438510199;baseline_0
Case46_3;0;3;1;0.6;0.5805674825658058;0.5805674825658058;-0.5805674825658058;baseline_0
Case69_3;0;3;0;1.0;;;;baseline_0
Case82_3;1;3;1;0.75;0.6994252265641001;0.6994252265641001;-0.6984810262964549;baseline_0
Case92_3;1;3;1;0.5555555555555556;0.6168805040960668;0.6168805040960668;-0.6187348206734272;baseline_0
Case119_4;0;4;0;0.603448275862069;0.39989429950097316;0.39989429950097316;-0.39989429950097316;baseline_0
Case198_4;1;4;1;0.8571428571428571;;;;baseline_0
Case248_4;1;4;0;0.603448275862069;0.39989429950097316;0.39989429950097316;-0.39989429950097316;baseline_0
Case249_4;1;4;0;0.7619047619047619;0.7033656763898605;0.7033656763898605;-0.7033656763898605;baseline_0
Case55_4;1;4;0;0.603448275862069;0.39989429950097316;0.39989429950097316;-0.39989429950097316;baseline_0
Case65_4;0;4;0;0.603448275862069;0.39989429950097316;0.39989429950097316;-0.39989429950097316;baseline_0
Case71_4;0;4;0;0.603448275862069;0.39989429950097316;0.39989429950097316;-0.39989429950097316;baseline_0
Case86_4;0;4;1;0.7692307692307693;0.5633352545672224;0.5633352545672224;-0.5633352545672224;baseline_0
Case119_4;0;4;0;0.603448275862069;0.39989429950097316;0.39989429950097316;-0.39989429950097316;baseline_0
Case198_4;1;4;1;0.8571428571428571;;;;baseline_0
Case248_4;1;4;0;0.603448275862069;0.39989429950097316;0.39989429950097316;-0.39989429950097316;baseline_0
Case249_4;1;4;0;0.7619047619047619;0.7033656763898605;0.7033656763898605;-0.7033656763898605;baseline_0
Case55_4;1;4;0;0.603448275862069;0.39989429950097316;0.39989429950097316;-0.39989429950097316;baseline_0
Case65_4;0;4;0;0.603448275862069;0.39989429950097316;0.39989429950097316;-0.39989429950097316;baseline_0
Case71_4;0;4;0;0.603448275862069;0.39989429950097316;0.39989429950097316;-0.39989429950097316;baseline_0
Case86_4;0;4;1;0.7692307692307693;0.5633352545672224;0.5633352545672224;-0.5633352545672224;baseline_0
Case119_4;0;4;0;0.603448275862069;0.39989429950097316;0.39989429950097316;-0.39989429950097316;baseline_0
Case198_4;1;4;1;0.8571428571428571;;;;baseline_0
Case248_4;1;4;0;0.603448275862069;0.39989429950097316;0.39989429950097316;-0.39989429950097316;baseline_0
Case249_4;1;4;0;0.7619047619047619;0.7033656763898605;0.7033656763898605;-0.7033656763898605;baseline_0
Case55_4;1;4;0;0.603448275862069;0.39989429950097316;0.39989429950097316;-0.39989429950097316;baseline_0
Case65_4;0;4;0;0.603448275862069;0.39989429950097316;0.39989429950097316;-0.39989429950097316;baseline_0
Case71_4;0;4;0;0.603448275862069;0.39989429950097316;0.39989429950097316;-0.39989429950097316;baseline_0
Case86_4;0;4;1;0.7692307692307693;0.5633352545672224;0.5633352545672224;-0.5633352545672224;baseline_0
Case119_4;0;4;0;0.603448275862069;0.39989429950097316;0.39989429950097316;-0.39989429950097316;baseline_0
