Case ID;Actual;Prefix Length;Prediction;Prediction Probability;MAPE Correctness;RMSE Correctness;R2 Correctness;Mode
Case101_11;0;11;0;0.8373493975903614;0.7081805962033313;0.7081805962033313;-0.7081805962033313;baseline_mean
Case101_6;0;6;0;0.8373493975903614;0.7081805962033313;0.7081805962033313;-0.7081805962033313;baseline_mean
Case106_7;0;7;0;0.8373493975903614;0.7081805962033313;0.7081805962033313;-0.7081805962033313;baseline_mean
Case108_4;1;4;1;0.8417721518987342;0.6995965889766242;0.6995965889766242;-0.6995965889766242;baseline_mean
Case109_4;1;4;0;0.5294117647058824;0.6121847529478716;0.6121847529478716;-0.615051375028854;baseline_mean
Case109_5;1;5;1;0.8417721518987342;0.6995965889766242;0.6995965889766242;-0.6995965889766242;baseline_mean
Case111_12;1;12;1;0.9053497942386832;0.3722008637522587;0.3722008637522587;-0.3722008637522587;baseline_mean
Case115_12;1;12;0;0.8275862068965517;0.9918699186991868;0.9918699186991868;-0.9969465577574307;baseline_mean
Case117;0;1;1;0.63671875;0.6314965748074258;0.6314965748074258;-0.6343926132373084;baseline_mean
Case11_14;1;14;1;0.9053497942386832;0.3722008637522587;0.3722008637522587;-0.3722008637522587;baseline_mean
Case124_5;0;5;1;0.5531914893617021;0.4041043858659848;0.4041043858659848;-0.4041043858659848;baseline_mean
Case124_8;0;8;0;0.9230769230769232;0.764335455616612;0.764335455616612;-0.764335455616612;baseline_mean
Case12_7;0;7;1;0.8823529411764706;;;;baseline_mean
Case135_5;1;5;1;0.8417721518987342;0.6995965889766242;0.6995965889766242;-0.6995965889766242;baseline_mean
Case135_6;1;6;1;0.8417721518987342;0.6995965889766242;0.6995965889766242;-0.6995965889766242;baseline_mean
Case136_3;0;3;1;0.7232142857142857;0.5124362699666704;0.5124362699666704;-0.5124362699666704;baseline_mean
Case155_12;0;12;0;0.8373493975903614;0.7081805962033313;0.7081805962033313;-0.7081805962033313;baseline_mean
Case155_9;0;9;0;0.8373493975903614;0.7081805962033313;0.7081805962033313;-0.7081805962033313;baseline_mean
Case17;1;1;1;0.5531914893617021;0.4041043858659848;0.4041043858659848;-0.4041043858659848;baseline_mean
Case178_11;0;11;0;0.5294117647058824;0.6121847529478716;0.6121847529478716;-0.615051375028854;baseline_mean
Case178_14;0;14;0;0.5294117647058824;0.6121847529478716;0.6121847529478716;-0.615051375028854;baseline_mean
Case17_9;1;9;1;0.9053497942386832;0.3722008637522587;0.3722008637522587;-0.3722008637522587;baseline_mean
Case185_4;0;4;1;0.63671875;0.6314965748074258;0.6314965748074258;-0.6343926132373084;baseline_mean
Case185_5;0;5;1;0.63671875;0.6314965748074258;0.6314965748074258;-0.6343926132373084;baseline_mean
Case187_14;1;14;1;0.9053497942386832;0.3722008637522587;0.3722008637522587;-0.3722008637522587;baseline_mean
Case187_9;1;9;1;0.9053497942386832;0.3722008637522587;0.3722008637522587;-0.3722008637522587;baseline_mean
Case18_7;1;7;1;0.9053497942386832;0.3722008637522587;0.3722008637522587;-0.3722008637522587;baseline_mean
