Case ID;Actual;Prefix Length;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability;LIME Subset Stability;LIME Weight Stability;LIME Adjusted Weight Stability;ACV Subset Stability;ACV Weight Stability;ACV Adjusted Weight Stability;LINDA Subset Stability;LINDA Weight Stability;LINDA Adjusted Weight Stability;SHAP Precision;SHAP Recall;SHAP Correlation
Case127;1;1;1;0.9999700019705444;0.8097324723247232;0.8140123348677811;0.8140123348677811;0.9488636363636364;0.9904621751146454;0.9904621751146454;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.13505519182930883
Case188;1;1;1;1.0;0.3944954128440367;0.9647201376489172;0.9647201376489172;0.9057519849203176;0.9927574486649872;0.9927574486649872;;1.0;1.0;;1.0;1.0;0.0;0.0;0.11600625441884016
Case21;1;1;1;1.0;0.6382530912917653;0.8972991894686773;0.8972991894686773;0.9262678106327562;0.9910056505275688;0.9910056505275688;;1.0;1.0;;1.0;1.0;1.0;1.0;0.18309417542982384
Case236;0;1;0;1.0;1.0;0.9935131081605352;0.9935131081605352;0.9769565946036536;0.994599547779566;0.994599547779566;;1.0;1.0;;1.0;1.0;1.0;1.0;0.23004285871693017
Case252;0;1;1;0.9995349382348621;0.5787377450980393;0.9748031863953022;0.9748031863953022;0.9488636363636364;0.9930783952496514;0.9930783952496514;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.08773406323438478
Case39;0;1;1;0.9999368206974101;0.494485294117647;0.9520883505632748;0.9520883505632748;0.9890751628793898;0.990935564348142;0.990935564348142;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.13643683062040154
Case42;1;1;1;0.9752656150567216;0.7463099630996309;0.9561250848825786;0.9561250848825786;0.9663649706457924;0.98940309542009;0.98940309542009;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.1246929008961138
Case97;0;1;0;0.9999999999998579;1.0;0.9923904718951287;0.9923904718951287;0.9889344921937872;0.9927864688812889;0.9927864688812889;;1.0;1.0;;1.0;1.0;1.0;1.0;0.19964680531289133
Case109_2;1;2;1;1.0;1.0;0.8694104294183411;0.8694104294183411;0.9544700460829492;0.9816632637508051;0.9816632637508051;;1.0;1.0;;1.0;1.0;0.5;1.0;0.15491653785499598
Case195_2;0;2;0;1.0;1.0;0.7943779859466966;0.7943779859466966;0.9060522151898734;0.9795239831421716;0.9795239831421716;;1.0;1.0;;1.0;1.0;1.0;0.6666666666666666;0.11313647372865838
Case199_2;1;2;1;1.0;1.0;0.790427803117679;0.790427803117679;0.8928436281073528;0.9852477566643016;0.9852477566643016;;1.0;1.0;;1.0;1.0;1.0;0.2;0.15075075887571504
