Case ID;Actual;Prefix Length;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability;LIME Subset Stability;LIME Weight Stability;LIME Adjusted Weight Stability;ACV Subset Stability;ACV Weight Stability;ACV Adjusted Weight Stability;LINDA Subset Stability;LINDA Weight Stability;LINDA Adjusted Weight Stability;SHAP Precision;SHAP Recall;SHAP Correlation;LIME Precision;LIME Recall;LIME Correlation;LINDA Precision;LINDA Recall;LINDA Correlation
ADA_11;1;11;1;0.9999999999996304;1.0;0.9866426781785662;0.9866426781785662;0.9427537668517052;0.9573235225564058;0.9573235225564058;;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.063568812039436;0.0;0.0;0.517103386974347;0.003663003663003663;1.0;0.0
ADA_3;1;3;1;0.9999999999991472;1.0;0.987508539200644;0.987508539200644;0.9346437726509326;0.7965944120408639;0.7965944120408639;;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0588916989059827;0.0;0.0;0.5158593097881116;0.003663003663003663;1.0;0.0
AF_5;1;5;1;1.0;1.0;0.9866775124522406;0.9866775124522406;0.7113249444855663;0.935277281422846;0.935277281422846;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0957290875239599;0.0;0.0;0.5229451407184086;0.003663003663003663;1.0;0.0
BDA_10;0;10;0;1.0;1.0;0.9797899719159868;0.9797899719159868;0.492814877430262;0.9643161088391076;0.9643161088391076;1.0;1.0;1.0;;1.0;1.0;1.0;1.0;0.0352326335219096;0.0;0.0;0.5251087532162092;0.003663003663003663;1.0;0.0
BFA;0;1;0;1.0;0.8325974981604121;0.9654739291193042;0.9654739291193042;0.1388788752703674;0.95917059439077;0.95917059439077;1.0;1.0;1.0;;1.0;1.0;1.0;1.0;0.339761750433672;0.0;0.0;0.3285986481034684;0.003663003663003663;1.0;0.0
BIA_5;0;5;0;1.0;0.7846097201767305;0.9610439459056016;0.9610439459056016;0.9432539682539682;0.9374375810161468;0.9374375810161468;1.0;1.0;1.0;;1.0;1.0;0.0;0.0;0.3170504896401085;0.0;0.0;0.3537506433904005;0.003663003663003663;1.0;0.0
BJ_2;0;2;1;0.9999999999927524;1.0;0.987019725465412;0.987019725465412;0.9391557582871491;0.8588970841130175;0.8588970841130175;;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0573516738498456;0.1;0.5;0.5001731191790572;0.007326007326007326;1.0;0.0
BKA;1;1;1;1.0;0.4974226804123713;0.9698935902094934;0.9698935902094934;0.2073854586961144;0.8819245145579014;0.8819245145579014;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0651658750606152;0.0;0.0;0.5083407563582544;0.003663003663003663;1.0;0.0
BNA_6;0;6;0;1.0;1.0;0.9732832905858524;0.9732832905858524;0.2330586080586084;0.9481047701255578;0.9481047701255578;1.0;1.0;1.0;;1.0;1.0;1.0;1.0;0.1157854969843459;0.0;0.0;0.4690918656917075;0.003663003663003663;1.0;0.0
CC_12;1;12;1;0.9999999999991472;1.0;0.976243800666626;0.976243800666626;0.9437446610817212;0.819871787692003;0.819871787692003;;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0655081028508679;0.0;0.0;0.4885437020033789;0.003663003663003663;1.0;0.0
