Case ID;Actual;Prefix Length;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability;LIME Subset Stability;LIME Weight Stability;LIME Adjusted Weight Stability;ACV Subset Stability;ACV Weight Stability;ACV Adjusted Weight Stability;LINDA Subset Stability;LINDA Weight Stability;LINDA Adjusted Weight Stability;MAPE Correctness;RMSE Correctness;R2 Correctness;Mode
Case109;1;1;1;0.9999999999897926;1.0;1.0;1.0;0.6803353331904863;0.9852617237166884;0.9852617237166884;;1.0;1.0;;1.0;1.0;-0.08277492865566284;-0.08277492865566284;0.08277492865566284;baseline_0
Case12;0;1;0;0.7571621434937789;1.0;1.0;1.0;0.6445060018467221;0.9744771370261524;0.9744771370261524;;1.0;1.0;;1.0;1.0;0.008244242025342506;0.008244242025342506;-0.008244242025342506;baseline_0
Case215;0;1;1;0.6903795138044146;1.0;1.0;1.0;0.7689075630252101;0.9646498073255227;0.9646498073255227;;1.0;1.0;;1.0;1.0;0.0076230822786481885;0.007625177971410432;-0.007625177971410432;baseline_0
Case34;0;1;0;0.6816175808711129;1.0;1.0;1.0;0.7711511789181692;0.9879707394001018;0.9879707394001018;;1.0;1.0;;1.0;1.0;-0.0056952807326598725;-0.0056952807326598725;0.0056952807326598725;baseline_0
Case38;1;1;1;0.9748103209214118;1.0;1.0;1.0;0.8295856940509915;0.9844225262359996;0.9844225262359996;;1.0;1.0;;1.0;1.0;-0.11216680091956376;-0.11216680091956376;0.16833383090347875;baseline_0
Case39;0;1;0;0.7877059592977612;1.0;1.0;1.0;0.8347993992705428;0.9840883721776704;0.9840883721776704;;1.0;1.0;;1.0;1.0;-0.016481769188978177;-0.016485751735656813;0.016481769188978177;baseline_0
Case44;1;1;1;0.9999999999999998;1.0;1.0;1.0;0.68135733498862;0.9884096977861676;0.9884096977861676;;1.0;1.0;;1.0;1.0;0.13668117947366426;0.13668117947366426;-0.13668117947366426;baseline_0
Case45;1;1;1;0.9632014525681228;1.0;1.0;1.0;0.7628294407542319;0.9874035483030674;0.9874035483030674;;1.0;1.0;;1.0;1.0;-0.08727447737669941;-0.08727447737669941;0.08727447737669941;baseline_0
Case109;1;1;1;0.9999999999897926;1.0;1.0;1.0;0.6803353331904863;0.9852617237166884;0.9852617237166884;;1.0;1.0;;1.0;1.0;-0.08277492865566284;-0.08277492865566284;0.08277492865566284;baseline_0
Case12;0;1;0;0.7571621434937789;1.0;1.0;1.0;0.6445060018467221;0.9744771370261524;0.9744771370261524;;1.0;1.0;;1.0;1.0;0.008244242025342506;0.008244242025342506;-0.008244242025342506;baseline_0
Case215;0;1;1;0.6903795138044146;1.0;1.0;1.0;0.7689075630252101;0.9646498073255227;0.9646498073255227;;1.0;1.0;;1.0;1.0;0.0076230822786481885;0.007625177971410432;-0.007625177971410432;baseline_0
Case34;0;1;0;0.6816175808711129;1.0;1.0;1.0;0.7711511789181692;0.9879707394001018;0.9879707394001018;;1.0;1.0;;1.0;1.0;-0.0056952807326598725;-0.0056952807326598725;0.0056952807326598725;baseline_0
Case38;1;1;1;0.9748103209214118;1.0;1.0;1.0;0.8295856940509915;0.9844225262359996;0.9844225262359996;;1.0;1.0;;1.0;1.0;-0.11216680091956376;-0.11216680091956376;0.16833383090347875;baseline_0
Case39;0;1;0;0.7877059592977612;1.0;1.0;1.0;0.8347993992705428;0.9840883721776704;0.9840883721776704;;1.0;1.0;;1.0;1.0;-0.016481769188978177;-0.016485751735656813;0.016481769188978177;baseline_0
Case44;1;1;1;0.9999999999999998;1.0;1.0;1.0;0.68135733498862;0.9884096977861676;0.9884096977861676;;1.0;1.0;;1.0;1.0;0.13668117947366426;0.13668117947366426;-0.13668117947366426;baseline_0
Case45;1;1;1;0.9632014525681228;1.0;1.0;1.0;0.7628294407542319;0.9874035483030674;0.9874035483030674;;1.0;1.0;;1.0;1.0;-0.08727447737669941;-0.08727447737669941;0.08727447737669941;baseline_0
Case109;1;1;1;0.9999999999897926;1.0;1.0;1.0;0.6803353331904863;0.9852617237166884;0.9852617237166884;;1.0;1.0;;1.0;1.0;-0.08277492865566284;-0.08277492865566284;0.08277492865566284;baseline_0
Case12;0;1;0;0.7571621434937789;1.0;1.0;1.0;0.6445060018467221;0.9744771370261524;0.9744771370261524;;1.0;1.0;;1.0;1.0;0.008244242025342506;0.008244242025342506;-0.008244242025342506;baseline_0
Case215;0;1;1;0.6903795138044146;1.0;1.0;1.0;0.7689075630252101;0.9646498073255227;0.9646498073255227;;1.0;1.0;;1.0;1.0;0.0076230822786481885;0.007625177971410432;-0.007625177971410432;baseline_0
Case34;0;1;0;0.6816175808711129;1.0;1.0;1.0;0.7711511789181692;0.9879707394001018;0.9879707394001018;;1.0;1.0;;1.0;1.0;-0.0056952807326598725;-0.0056952807326598725;0.0056952807326598725;baseline_0
Case38;1;1;1;0.9748103209214118;1.0;1.0;1.0;0.8295856940509915;0.9844225262359996;0.9844225262359996;;1.0;1.0;;1.0;1.0;-0.11216680091956376;-0.11216680091956376;0.16833383090347875;baseline_0
Case39;0;1;0;0.7877059592977612;1.0;1.0;1.0;0.8347993992705428;0.9840883721776704;0.9840883721776704;;1.0;1.0;;1.0;1.0;-0.016481769188978177;-0.016485751735656813;0.016481769188978177;baseline_0
Case44;1;1;1;0.9999999999999998;1.0;1.0;1.0;0.68135733498862;0.9884096977861676;0.9884096977861676;;1.0;1.0;;1.0;1.0;0.13668117947366426;0.13668117947366426;-0.13668117947366426;baseline_0
