Case ID;Actual;Prefix Length;Prediction;Prediction Probability;SHAP Precision;SHAP Recall;SHAP Correlation;LIME Precision;LIME Recall;LIME Correlation;LINDA Precision;LINDA Recall;LINDA Correlation
Case101_11;0;11;0;0.8373493975903614;1.0;0.5;0.3941079301155874;0.0;0.0;0.14845341891381753;0.012048192771084338;1.0;0.0
Case101_6;0;6;0;0.8373493975903614;1.0;0.5;0.3941079301155874;0.0;0.0;0.14845341891381753;0.012048192771084338;1.0;0.0
Case106_7;0;7;0;0.8373493975903614;1.0;0.5;0.3941079301155874;0.0;0.0;0.14939598030374654;0.012048192771084338;1.0;0.0
Case108_4;1;4;1;0.8417721518987342;1.0;0.5;0.3965332096855295;0.0;0.0;0.14845341891381753;0.012048192771084338;1.0;0.0
Case109_4;1;4;0;0.5294117647058824;1.0;0.2;0.6078941451074418;0.5;0.2;0.2206816805749505;0.030120481927710843;1.0;0.0
Case109_5;1;5;1;0.8417721518987342;1.0;1.0;0.3965332096855295;0.0;0.0;0.14751085752388854;0.012048192771084338;1.0;0.0
Case111_12;1;12;1;0.9053497942386832;1.0;0.14285714285714285;0.7158693831174138;1.0;0.2857142857142857;0.21881562861436807;0.04216867469879518;1.0;0.0
Case115_12;1;12;0;0.8275862068965517;1.0;0.3333333333333333;0.4739964695149088;0.0;0.0;0.1348848247747122;0.018072289156626505;1.0;0.0
Case117;0;1;1;0.63671875;1.0;0.4;0.6248442987099306;0.5;0.2;0.22966465264720085;0.030120481927710843;1.0;0.0
Case11_14;1;14;1;0.9053497942386832;1.0;0.14285714285714285;0.7028060732065121;1.0;0.2857142857142857;0.2716156874911529;0.04216867469879518;1.0;0.0
Case124_5;0;5;1;0.5531914893617021;1.0;0.16666666666666666;0.6709454802037471;0.0;0.0;0.2388441483652677;0.03614457831325301;1.0;0.0
Case124_8;0;8;0;0.9230769230769232;1.0;0.2;0.6078941451074418;0.5;0.2;0.1943316291630161;0.030120481927710843;1.0;0.0
Case12_7;0;7;1;0.8823529411764706;0.0;0.0;0.6121221030424336;0.0;0.0;0.2001436700244078;0.030120481927710843;1.0;0.0
Case135_5;1;5;1;0.8417721518987342;1.0;0.5;0.3965332096855295;0.0;0.0;0.14751085752388854;0.012048192771084338;1.0;0.0
Case135_6;1;6;1;0.8417721518987342;1.0;0.5;0.3965332096855295;0.0;0.0;0.14751085752388854;0.012048192771084338;1.0;0.0
Case136_3;0;3;1;0.7232142857142857;1.0;0.14285714285714285;0.7224010380728646;1.0;0.2857142857142857;0.2716156874911529;0.04216867469879518;1.0;0.0
Case155_12;0;12;0;0.8373493975903614;1.0;0.5;0.3989584892554716;0.0;0.0;0.14751085752388854;0.012048192771084338;1.0;0.0
Case155_9;0;9;0;0.8373493975903614;1.0;0.5;0.3965332096855295;0.0;0.0;0.14845341891381753;0.012048192771084338;1.0;0.0
Case17;1;1;1;0.5531914893617021;1.0;0.16666666666666666;0.6751741281882244;0.0;0.0;0.2311748408489517;0.03614457831325301;1.0;0.0
Case178_11;0;11;0;0.5294117647058824;1.0;0.2;0.6048122989978983;0.5;0.2;0.22906578784238416;0.030120481927710843;1.0;0.0
Case178_14;0;14;0;0.5294117647058824;1.0;0.2;0.6032713759431266;0.5;0.2;0.2266703286231174;0.030120481927710843;1.0;0.0
Case17_9;1;9;1;0.9053497942386832;1.0;0.14285714285714285;0.717175714108504;1.0;0.2857142857142857;0.2711079946173377;0.04216867469879518;1.0;0.0
Case185_4;0;4;1;0.63671875;1.0;0.2;0.6263852217647023;0.5;0.2;0.225472599013484;0.030120481927710843;1.0;0.0
Case185_5;0;5;1;0.63671875;1.0;0.2;0.6263852217647023;0.5;0.2;0.2272691934279341;0.030120481927710843;1.0;0.0
Case187_14;1;14;1;0.9053497942386832;1.0;0.14285714285714285;0.717175714108504;1.0;0.2857142857142857;0.2721233803649682;0.04216867469879518;1.0;0.0
Case187_9;1;9;1;0.9053497942386832;1.0;0.14285714285714285;0.717175714108504;1.0;0.2857142857142857;0.27060030174352245;0.04216867469879518;1.0;0.0
Case18_7;1;7;1;0.9053497942386832;1.0;0.14285714285714285;0.717175714108504;1.0;0.2857142857142857;0.2035848423999109;0.04216867469879518;1.0;0.0
Case192_12;0;12;0;0.8125;1.0;0.25;0.5487336158690711;0.0;0.0;0.2065747329785576;0.024096385542168676;1.0;0.0
Case192_14;0;14;0;0.8125;1.0;0.25;0.5487336158690711;0.0;0.0;0.2065747329785576;0.024096385542168676;1.0;0.0
Case192_5;0;5;0;0.8275862068965517;1.0;0.3333333333333333;0.4799462159941754;0.0;0.0;0.121781727510883;0.018072289156626505;1.0;0.0
Case195_13;0;13;0;0.5294117647058824;1.0;0.2;0.6048122989978983;0.5;0.2;0.19612822357746615;0.030120481927710843;1.0;0.0
Case199_5;1;5;1;0.63671875;1.0;0.2;0.6217624526003872;0.5;0.2;0.19013957552929925;0.030120481927710843;1.0;0.0
Case200_3;1;3;1;0.63671875;1.0;0.2;0.6186806064908438;0.5;0.2;0.2278680582327508;0.030120481927710843;1.0;0.0
Case201_13;1;13;0;0.8373493975903614;1.0;0.5;0.3989584892554716;0.0;0.0;0.14751085752388854;0.012048192771084338;1.0;0.0
Case201_14;1;14;0;0.8373493975903614;1.0;0.5;0.3989584892554716;0.0;0.0;0.15033854169367553;0.012048192771084338;1.0;0.0
Case203_3;0;3;1;0.63671875;1.0;0.2;0.6263852217647023;0.5;0.2;0.2266703286231174;0.030120481927710843;1.0;0.0
Case206;1;1;1;0.63671875;1.0;0.2;0.6094350681622135;0.5;0.2;0.2284669230375675;0.030120481927710843;1.0;0.0
Case206_6;1;6;1;0.63671875;1.0;0.2;0.6109759912169852;0.5;0.2;0.18115660345704893;0.030120481927710843;1.0;0.0
Case207;1;1;1;0.63671875;1.0;0.4;0.6248442987099306;0.5;0.2;0.22966465264720085;0.030120481927710843;1.0;0.0
Case207_12;1;12;1;0.8417721518987342;1.0;0.5;0.3989584892554716;0.0;0.0;0.14751085752388854;0.012048192771084338;1.0;0.0
Case207_7;1;7;1;0.8417721518987342;1.0;0.5;0.3965332096855295;0.0;0.0;0.14845341891381753;0.012048192771084338;1.0;0.0
Case208_2;1;2;1;0.5531914893617021;1.0;0.16666666666666666;0.6751741281882244;0.0;0.0;0.2278879947705306;0.03614457831325301;1.0;0.0
